l3_index_code,l3_industry_code,l3_name,l2_code,l2_name,l1_code,l1_name,股票代码,ts_code,股票简称,纳入时间,申万3级
850812.SI,270102,分立器件,270100,半导体,270000,电子,300373.SZ,300373.SZ,扬杰科技,2021-12-13,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,300623.SZ,300623.SZ,捷捷微电,2021-12-13,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,300831.SZ,300831.SZ,ST派瑞,2021-12-13,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,600360.SH,600360.SH,华微电子,2021-12-13,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,600460.SH,600460.SH,士兰微,2021-12-13,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,603290.SH,603290.SH,斯达半导,2021-12-13,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,605111.SH,605111.SH,新洁能,2021-12-13,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,688230.SH,688230.SH,芯导科技,2021-12-13,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,688689.SH,688689.SH,银河微电,2021-12-13,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,688711.SH,688711.SH,宏微科技,2021-12-13,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,688261.SH,688261.SH,东微半导,2022-02-10,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,688048.SH,688048.SH,长光华芯,2022-04-01,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,688167.SH,688167.SH,炬光科技,2022-05-17,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,600745.SH,600745.SH,*ST闻泰,2022-08-01,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,688172.SH,688172.SH,燕东微,2022-12-16,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,688498.SH,688498.SH,源杰科技,2022-12-21,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,688693.SH,688693.SH,锴威特,2023-08-18,分立器件
850812.SI,270102,分立器件,270100,半导体,270000,电子,300046.SZ,300046.SZ,台基股份,2021-12-13,分立器件
