股票代码,股票简称,纳入时间,申万3级,l3_index_code
000811.SZ,冰轮环境,2021-12-13,制冷空调设备,850715.SI
002158.SZ,汉钟精机,2021-12-13,制冷空调设备,850715.SI
002639.SZ,雪人集团,2021-12-13,制冷空调设备,850715.SI
002686.SZ,亿利达,2021-12-13,制冷空调设备,850715.SI
300990.SZ,同飞股份,2021-12-13,制冷空调设备,850715.SI
301018.SZ,申菱环境,2021-12-13,制冷空调设备,850715.SI
603187.SH,海容冷链,2021-12-13,制冷空调设备,850715.SI
603277.SH,银都股份,2021-12-13,制冷空调设备,850715.SI
603339.SH,四方科技,2021-12-13,制冷空调设备,850715.SI
603912.SH,佳力图,2021-12-13,制冷空调设备,850715.SI
600202.SH,哈空调,2022-08-01,制冷空调设备,850715.SI
301399.SZ,英特科技,2023-05-23,制冷空调设备,850715.SI
301272.SZ,英华特,2023-07-13,制冷空调设备,850715.SI
301525.SZ,儒竞科技,2023-08-30,制冷空调设备,850715.SI
301043.SZ,绿岛风,2024-07-31,制冷空调设备,850715.SI
301070.SZ,开勒股份,2024-07-31,制冷空调设备,850715.SI
001237.SZ,惠康科技,2026-05-22,制冷空调设备,850715.SI
000530.SZ,冰山冷热,2021-12-13,制冷空调设备,850715.SI
