l3_index_code,股票代码,股票简称,纳入时间,申万3级
850111.SI,600313.SH,农发种业,2011-01-10,种子
850111.SI,000713.SZ,国投丰乐,1997-04-22,种子
850111.SI,600371.SH,万向德农,2002-09-16,种子
850111.SI,300087.SZ,ST荃银,2010-01-12,种子
850111.SI,000998.SZ,隆平高科,2000-06-29,种子
850111.SI,300189.SZ,神农种业,2011-01-07,种子
850111.SI,600354.SH,敦煌种业,2007-07-02,种子
850111.SI,002041.SZ,登海种业,2005-03-24,种子
850112.SI,600598.SH,北大荒,2011-01-10,粮食种植
850112.SI,601952.SH,苏垦农发,2017-05-04,粮食种植
850113.SI,601118.SH,海南橡胶,2010-01-28,其他种植业
850113.SI,603336.SH,宏辉果蔬,2016-11-07,其他种植业
850113.SI,002215.SZ,诺普信,2025-05-09,其他种植业
850113.SI,600359.SH,新农开发,1999-04-29,其他种植业
850113.SI,600108.SH,亚盛集团,1997-08-18,其他种植业
850113.SI,600540.SH,新赛股份,2004-01-02,其他种植业
850114.SI,300970.SZ,华绿生物,2021-07-30,食用菌
850114.SI,002772.SZ,众兴菌业,2021-07-30,食用菌
850114.SI,600883.SH,博闻科技,2022-07-29,食用菌
850114.SI,300511.SZ,雪榕生物,2021-07-30,食用菌
850121.SI,600097.SH,开创国际,1997-06-19,海洋捕捞
850121.SI,000798.SZ,中水渔业,1998-02-12,海洋捕捞
850122.SI,300094.SZ,国联水产,2010-01-29,水产养殖
850122.SI,002069.SZ,獐子岛,2006-09-19,水产养殖
850122.SI,600467.SH,好当家,2004-04-01,水产养殖
850122.SI,600257.SH,大湖股份,2000-06-12,水产养殖
850131.SI,002679.SZ,福建金森,2012-01-30,林业Ⅲ
850131.SI,000592.SZ,平潭发展,2009-10-09,林业Ⅲ
850131.SI,000663.SZ,永安林业,2022-07-29,林业Ⅲ
850131.SI,600265.SH,*ST景谷,2000-08-25,林业Ⅲ
850142.SI,603363.SH,傲农生物,2017-09-07,畜禽饲料
850142.SI,000702.SZ,正虹科技,1997-03-18,畜禽饲料
850142.SI,002548.SZ,金新农,2011-01-10,畜禽饲料
850142.SI,001366.SZ,播恩集团,2023-02-24,畜禽饲料
850142.SI,000876.SZ,新希望,2026-07-01,畜禽饲料
850142.SI,603609.SH,禾丰股份,2014-02-07,畜禽饲料
850142.SI,688156.SH,路德科技,2025-05-09,畜禽饲料
850142.SI,002567.SZ,唐人神,2011-01-17,畜禽饲料
850142.SI,002100.SZ,天康生物,2015-07-01,畜禽饲料
850142.SI,603151.SH,邦基科技,2022-09-23,畜禽饲料
850142.SI,002385.SZ,大北农,2010-01-29,畜禽饲料
850143.SI,002311.SZ,海大集团,2009-01-12,水产饲料
850143.SI,001313.SZ,粤海饲料,2022-01-21,水产饲料
850143.SI,002696.SZ,百洋股份,2022-07-29,水产饲料
850143.SI,603668.SH,天马科技,2016-12-01,水产饲料
850144.SI,301498.SZ,乖宝宠物,2023-07-31,宠物食品
850144.SI,002891.SZ,中宠股份,2017-08-25,宠物食品
850144.SI,300673.SZ,佩蒂股份,2017-07-11,宠物食品
850151.SI,605198.SH,安德利,2020-09-09,果蔬加工
850151.SI,600962.SH,国投中鲁,2004-06-18,果蔬加工
850151.SI,000972.SZ,中基健康,2000-05-12,果蔬加工
850151.SI,300175.SZ,朗源股份,2011-01-27,果蔬加工
850151.SI,600251.SH,冠农股份,2017-05-22,果蔬加工
850152.SI,000019.SZ,深粮控股,2021-07-30,粮油加工
850152.SI,002852.SZ,道道全,2017-02-24,粮油加工
850152.SI,300999.SZ,金龙鱼,2020-09-21,粮油加工
850152.SI,600127.SH,金健米业,1998-05-06,粮油加工
850152.SI,000505.SZ,京粮控股,2018-07-13,粮油加工
850152.SI,603231.SH,索宝蛋白,2023-12-01,粮油加工
850152.SI,603182.SH,嘉华股份,2022-08-26,粮油加工
850154.SI,001338.SZ,永顺泰,2022-10-28,其他农产品加工
850154.SI,002086.SZ,东方海洋,2026-07-01,其他农产品加工
850154.SI,003030.SZ,祖名股份,2021-07-30,其他农产品加工
850154.SI,000911.SZ,*ST广糖,1999-01-04,其他农产品加工
850154.SI,600737.SH,中粮糖业,2017-06-29,其他农产品加工
850154.SI,000930.SZ,中粮科技,2011-01-10,其他农产品加工
850154.SI,002286.SZ,保龄宝,2009-08-12,其他农产品加工
850154.SI,002481.SZ,双塔食品,2021-07-30,其他农产品加工
850154.SI,300138.SZ,晨光生物,2010-10-25,其他农产品加工
850154.SI,600191.SH,华资实业,1998-12-10,其他农产品加工
850154.SI,300268.SZ,佳沃食品,2011-10-10,其他农产品加工
850172.SI,002157.SZ,正邦科技,2007-08-16,生猪养殖
850172.SI,603717.SH,天域生物,2025-08-11,生猪养殖
850172.SI,600975.SH,新五丰,2004-06-08,生猪养殖
850172.SI,000735.SZ,罗牛山,1997-06-11,生猪养殖
850172.SI,000048.SZ,京基智农,2025-08-11,生猪养殖
850172.SI,002714.SZ,牧原股份,2014-01-22,生猪养殖
850172.SI,603477.SH,巨星农牧,2022-01-21,生猪养殖
850172.SI,300498.SZ,温氏股份,2015-11-02,生猪养殖
850172.SI,605296.SH,神农集团,2021-04-26,生猪养殖
850172.SI,001201.SZ,东瑞股份,2021-04-15,生猪养殖
850172.SI,002124.SZ,天邦食品,2007-04-02,生猪养殖
850173.SI,002299.SZ,圣农发展,2009-09-22,肉鸡养殖
850173.SI,002982.SZ,湘佳股份,2020-04-08,肉鸡养殖
850173.SI,300967.SZ,晓鸣股份,2021-03-29,肉鸡养殖
850173.SI,002458.SZ,益生股份,2010-07-29,肉鸡养殖
850173.SI,300761.SZ,立华股份,2019-02-18,肉鸡养殖
850173.SI,301116.SZ,益客食品,2021-12-31,肉鸡养殖
850173.SI,002234.SZ,民和股份,2008-04-24,肉鸡养殖
850173.SI,002746.SZ,仙坛股份,2015-01-15,肉鸡养殖
850174.SI,300313.SZ,天山生物,2012-01-17,其他养殖
850174.SI,002321.SZ,华英农业,2009-11-30,其他养殖
850174.SI,600965.SH,*ST福成,2004-07-12,其他养殖
850181.SI,002868.SZ,绿康生化,2021-12-13,动物保健Ⅲ
850181.SI,300119.SZ,瑞普生物,2021-12-13,动物保健Ⅲ
850181.SI,300871.SZ,回盛生物,2021-12-13,动物保健Ⅲ
850181.SI,600195.SH,中牧股份,2021-12-13,动物保健Ⅲ
