l3_index_code,l3_industry_code,l3_name,l2_code,l2_name,l1_code,l1_name,股票代码,ts_code,股票简称,纳入时间,申万3级
850111.SI,110101,种子,110100,种植业,110000,农林牧渔,600313.SH,600313.SH,农发种业,2011-01-10,种子
850111.SI,110101,种子,110100,种植业,110000,农林牧渔,000713.SZ,000713.SZ,国投丰乐,1997-04-22,种子
850111.SI,110101,种子,110100,种植业,110000,农林牧渔,600371.SH,600371.SH,万向德农,2002-09-16,种子
850111.SI,110101,种子,110100,种植业,110000,农林牧渔,300087.SZ,300087.SZ,ST荃银,2010-01-12,种子
850111.SI,110101,种子,110100,种植业,110000,农林牧渔,000998.SZ,000998.SZ,隆平高科,2000-06-29,种子
850111.SI,110101,种子,110100,种植业,110000,农林牧渔,300189.SZ,300189.SZ,神农种业,2011-01-07,种子
850111.SI,110101,种子,110100,种植业,110000,农林牧渔,600354.SH,600354.SH,敦煌种业,2007-07-02,种子
850111.SI,110101,种子,110100,种植业,110000,农林牧渔,002041.SZ,002041.SZ,登海种业,2005-03-24,种子
850112.SI,110102,粮食种植,110100,种植业,110000,农林牧渔,600598.SH,600598.SH,北大荒,2011-01-10,粮食种植
850112.SI,110102,粮食种植,110100,种植业,110000,农林牧渔,601952.SH,601952.SH,苏垦农发,2017-05-04,粮食种植
850113.SI,110103,其他种植业,110100,种植业,110000,农林牧渔,601118.SH,601118.SH,海南橡胶,2010-01-28,其他种植业
850113.SI,110103,其他种植业,110100,种植业,110000,农林牧渔,603336.SH,603336.SH,宏辉果蔬,2016-11-07,其他种植业
850113.SI,110103,其他种植业,110100,种植业,110000,农林牧渔,002215.SZ,002215.SZ,诺普信,2025-05-09,其他种植业
850113.SI,110103,其他种植业,110100,种植业,110000,农林牧渔,600359.SH,600359.SH,新农开发,1999-04-29,其他种植业
850113.SI,110103,其他种植业,110100,种植业,110000,农林牧渔,600108.SH,600108.SH,亚盛集团,1997-08-18,其他种植业
850113.SI,110103,其他种植业,110100,种植业,110000,农林牧渔,600540.SH,600540.SH,新赛股份,2004-01-02,其他种植业
850114.SI,110104,食用菌,110100,种植业,110000,农林牧渔,300970.SZ,300970.SZ,华绿生物,2021-07-30,食用菌
850114.SI,110104,食用菌,110100,种植业,110000,农林牧渔,002772.SZ,002772.SZ,众兴菌业,2021-07-30,食用菌
850114.SI,110104,食用菌,110100,种植业,110000,农林牧渔,600883.SH,600883.SH,博闻科技,2022-07-29,食用菌
850114.SI,110104,食用菌,110100,种植业,110000,农林牧渔,300511.SZ,300511.SZ,雪榕生物,2021-07-30,食用菌
850121.SI,110201,海洋捕捞,110200,渔业,110000,农林牧渔,600097.SH,600097.SH,开创国际,1997-06-19,海洋捕捞
850121.SI,110201,海洋捕捞,110200,渔业,110000,农林牧渔,000798.SZ,000798.SZ,中水渔业,1998-02-12,海洋捕捞
850122.SI,110202,水产养殖,110200,渔业,110000,农林牧渔,300094.SZ,300094.SZ,国联水产,2010-01-29,水产养殖
850122.SI,110202,水产养殖,110200,渔业,110000,农林牧渔,002069.SZ,002069.SZ,獐子岛,2006-09-19,水产养殖
850122.SI,110202,水产养殖,110200,渔业,110000,农林牧渔,600467.SH,600467.SH,好当家,2004-04-01,水产养殖
850122.SI,110202,水产养殖,110200,渔业,110000,农林牧渔,600257.SH,600257.SH,大湖股份,2000-06-12,水产养殖
850131.SI,110301,林业Ⅲ,110300,林业Ⅱ,110000,农林牧渔,002679.SZ,002679.SZ,福建金森,2012-01-30,林业Ⅲ
850131.SI,110301,林业Ⅲ,110300,林业Ⅱ,110000,农林牧渔,000592.SZ,000592.SZ,平潭发展,2009-10-09,林业Ⅲ
