申万三级行业名称,股票代码,股票名称
IT服务Ⅲ,000034.SZ,神州数码
IT服务Ⅲ,000158.SZ,常山北明
IT服务Ⅲ,000409.SZ,云鼎科技
IT服务Ⅲ,000555.SZ,神州信息
IT服务Ⅲ,000815.SZ,美利云
IT服务Ⅲ,000938.SZ,紫光股份
IT服务Ⅲ,002065.SZ,东华软件
IT服务Ⅲ,002195.SZ,岩山科技
IT服务Ⅲ,002229.SZ,鸿博股份
IT服务Ⅲ,002232.SZ,启明信息
IT服务Ⅲ,002331.SZ,皖通科技
IT服务Ⅲ,002368.SZ,太极股份
IT服务Ⅲ,002373.SZ,千方科技
IT服务Ⅲ,002380.SZ,科远智慧
IT服务Ⅲ,002401.SZ,中远海科
IT服务Ⅲ,002421.SZ,达实智能
IT服务Ⅲ,002474.SZ,榕基软件
IT服务Ⅲ,002609.SZ,捷顺科技
IT服务Ⅲ,002642.SZ,荣联科技
IT服务Ⅲ,002649.SZ,博彦科技
IT服务Ⅲ,002657.SZ,中科金财
IT服务Ⅲ,002771.SZ,真视通
IT服务Ⅲ,002777.SZ,久远银海
IT服务Ⅲ,002908.SZ,德生科技
IT服务Ⅲ,003005.SZ,竞业达
IT服务Ⅲ,300017.SZ,网宿科技
IT服务Ⅲ,300020.SZ,ST银江
IT服务Ⅲ,300044.SZ,*ST赛为
IT服务Ⅲ,300078.SZ,思创智联
IT服务Ⅲ,300079.SZ,数码视讯
IT服务Ⅲ,300096.SZ,ST易联众
IT服务Ⅲ,300150.SZ,世纪瑞尔
IT服务Ⅲ,300166.SZ,东方国信
IT服务Ⅲ,300167.SZ,ST迪威迅
IT服务Ⅲ,300168.SZ,万达信息
IT服务Ⅲ,300170.SZ,汉得信息
IT服务Ⅲ,300212.SZ,*ST易录
IT服务Ⅲ,300231.SZ,银信科技
IT服务Ⅲ,300245.SZ,ST天玑
IT服务Ⅲ,300250.SZ,初灵信息
IT服务Ⅲ,300264.SZ,佳创视讯
IT服务Ⅲ,300271.SZ,华宇软件
IT服务Ⅲ,300277.SZ,汽轮科技
IT服务Ⅲ,300287.SZ,飞利信
IT服务Ⅲ,300288.SZ,朗玛信息
IT服务Ⅲ,300290.SZ,ST荣科
IT服务Ⅲ,300300.SZ,海峡创新
IT服务Ⅲ,300339.SZ,润和软件
IT服务Ⅲ,300399.SZ,天利科技
IT服务Ⅲ,300419.SZ,ST浩丰
IT服务Ⅲ,300440.SZ,运达科技
IT服务Ⅲ,300448.SZ,浩云科技
IT服务Ⅲ,300496.SZ,中科创达
IT服务Ⅲ,300523.SZ,辰安科技
IT服务Ⅲ,300532.SZ,今天国际
IT服务Ⅲ,300536.SZ,农尚环境
IT服务Ⅲ,300541.SZ,先进数通
IT服务Ⅲ,300609.SZ,汇纳科技
IT服务Ⅲ,300634.SZ,彩讯股份
IT服务Ⅲ,300674.SZ,宇信科技
IT服务Ⅲ,300678.SZ,中科信息
IT服务Ⅲ,300682.SZ,朗新科技
IT服务Ⅲ,300687.SZ,赛意信息
IT服务Ⅲ,300846.SZ,首都在线
IT服务Ⅲ,300872.SZ,天阳科技
IT服务Ⅲ,300895.SZ,铜牛信息
IT服务Ⅲ,301085.SZ,亚康股份
IT服务Ⅲ,301172.SZ,君逸数码
IT服务Ⅲ,301178.SZ,天亿马
IT服务Ⅲ,301185.SZ,鸥玛软件
IT服务Ⅲ,301208.SZ,中亦科技
IT服务Ⅲ,301218.SZ,华是科技
IT服务Ⅲ,301236.SZ,软通动力
IT服务Ⅲ,301248.SZ,杰创智能
IT服务Ⅲ,301316.SZ,慧博云通
IT服务Ⅲ,301396.SZ,宏景科技
IT服务Ⅲ,301556.SZ,托普云农
IT服务Ⅲ,301638.SZ,南网数字
IT服务Ⅲ,600131.SH,国网信通
IT服务Ⅲ,600271.SH,航天信息
IT服务Ⅲ,600410.SH,华胜天成
IT服务Ⅲ,600446.SH,金证股份
IT服务Ⅲ,600476.SH,*ST湘邮
IT服务Ⅲ,600536.SH,中国软件
IT服务Ⅲ,600571.SH,信雅达
IT服务Ⅲ,600589.SH,大位科技
IT服务Ⅲ,600666.SH,奥瑞德
IT服务Ⅲ,600718.SH,东软集团
IT服务Ⅲ,600728.SH,佳都科技
IT服务Ⅲ,600756.SH,浪潮软件
IT服务Ⅲ,600797.SH,浙大网新
IT服务Ⅲ,600845.SH,宝信软件
IT服务Ⅲ,600850.SH,电科数字
IT服务Ⅲ,603138.SH,海量数据
IT服务Ⅲ,603171.SH,税友股份
IT服务Ⅲ,603636.SH,南威软件
IT服务Ⅲ,603859.SH,能科科技
IT服务Ⅲ,603869.SH,ST智知
IT服务Ⅲ,603887.SH,城地香江
IT服务Ⅲ,603918.SH,金桥信息
IT服务Ⅲ,605398.SH,新炬网络
IT服务Ⅲ,688004.SH,博汇科技
IT服务Ⅲ,688039.SH,当虹科技
IT服务Ⅲ,688051.SH,佳华科技
IT服务Ⅲ,688066.SH,*ST航图
IT服务Ⅲ,688088.SH,虹软科技
IT服务Ⅲ,688158.SH,优刻得-W
IT服务Ⅲ,688207.SH,格灵深瞳
IT服务Ⅲ,688227.SH,品高股份
IT服务Ⅲ,688228.SH,开普云
IT服务Ⅲ,688229.SH,博睿数据
IT服务Ⅲ,688251.SH,井松智能
IT服务Ⅲ,688258.SH,卓易信息
IT服务Ⅲ,688316.SH,青云科技-U
IT服务Ⅲ,688327.SH,云从科技-UW
IT服务Ⅲ,688343.SH,云天励飞-U
IT服务Ⅲ,688365.SH,光云科技
IT服务Ⅲ,688500.SH,慧辰股份
IT服务Ⅲ,688509.SH,正元地信
IT服务Ⅲ,688562.SH,航天软件
IT服务Ⅲ,688568.SH,中科星图
IT服务Ⅲ,688787.SH,海天瑞声
IT服务Ⅲ,920092.BJ,汉鑫科技
IT服务Ⅲ,920116.BJ,星图测控
IT服务Ⅲ,920130.BJ,立方控股
IT服务Ⅲ,920171.BJ,志晟信息
IT服务Ⅲ,920184.BJ,国源科技
IT服务Ⅲ,920227.BJ,美登科技
IT服务Ⅲ,920493.BJ,并行科技
IT服务Ⅲ,920564.BJ,天润科技
IT服务Ⅲ,920748.BJ,路桥信息
IT服务Ⅲ,920790.BJ,联迪信息
IT服务Ⅲ,920806.BJ,云星宇
IT服务Ⅲ,920953.BJ,国子软件
LED,002137.SZ,实益达
LED,002449.SZ,国星光电
LED,002587.SZ,奥拓电子
LED,002654.SZ,万润科技
LED,002745.SZ,木林森
LED,002983.SZ,芯瑞达
LED,002992.SZ,宝明科技
LED,300102.SZ,乾照光电
LED,300162.SZ,雷曼光电
LED,300219.SZ,鸿利智汇
LED,300232.SZ,洲明科技
LED,300241.SZ,瑞丰光电
LED,300269.SZ,联建光电
LED,300296.SZ,利亚德
LED,300301.SZ,ST长方
LED,300303.SZ,聚飞光电
LED,300323.SZ,华灿光电
LED,300389.SZ,艾比森
LED,300582.SZ,英飞特
LED,300632.SZ,光莆股份
LED,300708.SZ,聚灿光电
LED,300752.SZ,隆利科技
LED,300808.SZ,久量股份
LED,300889.SZ,爱克股份
LED,300940.SZ,南极光
LED,600703.SH,三安光电
LED,603679.SH,华体科技
LED,603685.SH,晨丰科技
LED,603703.SH,盛洋科技
LED,688496.SH,*ST清越
专业连锁Ⅲ,000829.SZ,天音控股
专业连锁Ⅲ,002416.SZ,爱施德
专业连锁Ⅲ,300022.SZ,吉峰科技
专业连锁Ⅲ,300622.SZ,博士眼镜
专业连锁Ⅲ,300755.SZ,华致酒行
专业连锁Ⅲ,301078.SZ,孩子王
专业连锁Ⅲ,603214.SH,爱婴室
个护小家电,003023.SZ,彩虹集团
个护小家电,603868.SH,飞科电器
个护小家电,688793.SH,倍轻松
个护小家电,920199.BJ,倍益康
中药Ⅲ,000423.SZ,东阿阿胶
中药Ⅲ,000538.SZ,云南白药
中药Ⅲ,000590.SZ,古汉医药
中药Ⅲ,000623.SZ,吉林敖东
中药Ⅲ,000650.SZ,仁和药业
中药Ⅲ,000790.SZ,华神科技
中药Ⅲ,000989.SZ,九芝堂
中药Ⅲ,000999.SZ,华润三九
中药Ⅲ,002082.SZ,ST万邦
中药Ⅲ,002107.SZ,沃华医药
中药Ⅲ,002198.SZ,ST嘉应
中药Ⅲ,002275.SZ,桂林三金
中药Ⅲ,002287.SZ,奇正藏药
中药Ⅲ,002317.SZ,众生药业
中药Ⅲ,002349.SZ,精华制药
中药Ⅲ,002390.SZ,信邦制药
中药Ⅲ,002412.SZ,汉森制药
中药Ⅲ,002424.SZ,ST百灵
中药Ⅲ,002566.SZ,益盛药业
中药Ⅲ,002603.SZ,以岭药业
中药Ⅲ,002644.SZ,佛慈制药
中药Ⅲ,002728.SZ,特一药业
中药Ⅲ,002737.SZ,葵花药业
中药Ⅲ,002864.SZ,盘龙药业
中药Ⅲ,002873.SZ,新天药业
中药Ⅲ,002907.SZ,华森制药
中药Ⅲ,300026.SZ,红日药业
中药Ⅲ,300039.SZ,上海凯宝
中药Ⅲ,300147.SZ,*ST香雪
中药Ⅲ,300158.SZ,振东制药
中药Ⅲ,300181.SZ,佐力药业
中药Ⅲ,300519.SZ,新光药业
